Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic
Technology,Tempe,United States,Erin Smith,10/2/2014,West,Corporate,10/5/2014,First Class,Shipped Late,Arizona,Phones,3,1,0.2,1,78,78,0.34,3,230,345,230.38,288
Technology,Tempe,United States,Erin Smith,10/2/2014,West,Corporate,10/5/2014,First Class,Shipped Late,Arizona,Accessories,3,1,0.2,1,3,3,0.36,1,7,11,7.16,9
Office Supplies,New York City,United States,Ken Lonsdale,8/11/2014,East,Consumer,8/16/2014,Standard Class,Shipped Early,New York,Storage,5,6,0,1,-79,-79,-0.21,1,375,562,375.34,375
Furniture,New York City,United States,Bradley Nguyen,9/1/2017,East,Consumer,9/5/2017,Second Class,Shipped Late,New York,Furnishings,4,3,0,1,10,10,0.09,5,115,172,114.9,115
Office Supplies,Houston,United States,Natalie DeCherney,4/16/2017,Central,Consumer,4/22/2017,Standard Class,Shipped On Time,Texas,Binders,6,6,0.8,1,0,0,-0.01,3,26,39,26.05,130
Office Supplies,Houston,United States,Natalie DeCherney,4/16/2017,Central,Consumer,4/22/2017,Standard Class,Shipped On Time,Texas,Binders,6,6,0.8,1,0,0,0.05,1,3,4,2.9,15
Office Supplies,Houston,United States,Natalie DeCherney,4/16/2017,Central,Consumer,4/22/2017,Standard Class,Shipped On Time,Texas,Storage,6,6,0.2,1,11,11,0.34,2,33,49,32.54,41
Office Supplies,Riverside,United States,Jack Lebron,4/24/2016,West,Consumer,4/27/2016,First Class,Shipped Late,California,Binders,3,1,0.2,1,-7,-7,-1.7,1,4,6,3.98,5
Furniture,Fairfield,United States,Roy Collins,1/15/2016,East,Consumer,1/15/2016,Same Day,Shipped On Time,Connecticut,Tables,0,0,0.2,1,-322,-322,-1.55,1,208,272,181.8,260
Office Supplies,New York City,United States,Cindy Chapman,5/2/2016,East,Consumer,5/2/2016,Same Day,Shipped On Time,New York,Storage,0,0,0,1,-11,-11,-0.24,3,45,67,44.94,45
Office Supplies,New York City,United States,Cindy Chapman,5/2/2016,East,Consumer,5/2/2016,Same Day,Shipped On Time,New York,Binders,0,0,0.2,1,16,16,0.35,3,46,68,45.58,58
Furniture,Houston,United States,David Wiener,11/20/2016,Central,Corporate,11/27/2016,Standard Class,Shipped Late,Texas,Chairs,7,6,0.3,1,-29,-29,-0.09,5,318,477,318.43,454
Technology,Houston,United States,David Wiener,11/20/2016,Central,Corporate,11/27/2016,Standard Class,Shipped Late,Texas,Phones,7,6,0.2,1,34,34,0.28,7,123,184,122.92,154
Furniture,Houston,United States,David Wiener,11/20/2016,Central,Corporate,11/27/2016,Standard Class,Shipped Late,Texas,Furnishings,7,6,0.6,1,2,2,0.35,3,7,11,7.07,18
Office Supplies,Arlington,United States,Cyma Kinney,2/1/2016,South,Corporate,2/3/2016,First Class,Shipped Late,Virginia,Storage,2,1,0,1,-13,-13,-0.24,5,56,85,56.45,56
Office Supplies,Chicago,United States,Emily Grady,3/31/2017,Central,Consumer,4/5/2017,Second Class,Shipped Late,Illinois,Binders,5,3,0.8,1,5,5,0.38,13,13,20,13.47,65
Technology,Grand Prairie,United States,Sarah Jordon,12/1/2017,Central,Consumer,12/5/2017,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,1,-88,-88,-0.4,5,220,329,219.8,275
Furniture,Grand Prairie,United States,Sarah Jordon,12/1/2017,Central,Consumer,12/5/2017,Standard Class,Shipped Early,Texas,Chairs,4,6,0.3,1,82,82,0.26,3,317,475,317.06,453
Technology,Seattle,United States,Ben Peterman,12/10/2017,West,Corporate,12/12/2017,Second Class,Shipped Early,Washington,Accessories,2,3,0,1,-83,-83,-1.7,3,49,74,49.08,49
Office Supplies,Seattle,United States,Ben Peterman,12/10/2017,West,Corporate,12/12/2017,Second Class,Shipped Early,Washington,Storage,2,3,0,1,36,36,0.11,5,325,487,324.9,325
Office Supplies,Seattle,United States,Ben Peterman,12/10/2017,West,Corporate,12/12/2017,Second Class,Shipped Early,Washington,Art,2,3,0,1,-1,-1,-0.06,3,18,27,18.24,18
Furniture,Seattle,United States,Sanjit Jacobs,9/17/2016,West,Home Office,9/21/2016,Standard Class,Shipped Early,Washington,Chairs,4,6,0.2,1,11,11,0.1,2,114,171,113.89,143
Technology,Seattle,United States,Sanjit Jacobs,9/17/2016,West,Home Office,9/21/2016,Standard Class,Shipped Early,Washington,Phones,4,6,0.2,1,13,13,0.12,2,106,158,105.58,133
Office Supplies,Grand Rapids,United States,Matt Collister,12/23/2016,Central,Corporate,12/29/2016,Standard Class,Shipped On Time,Michigan,Fasteners,6,6,0,1,7,7,0.29,7,25,37,24.85,25
Furniture,Philadelphia,United States,Bruce Geld,4/17/2017,East,Consumer,4/19/2017,First Class,Shipped Late,Pennsylvania,Furnishings,2,1,0.2,1,5,5,0.09,3,60,90,60.31,75
Office Supplies,Chicago,United States,Matt Abelman,10/27/2017,Central,Home Office,10/30/2017,Second Class,Shipped On Time,Illinois,Art,3,3,0.2,1,1,1,0.08,3,7,11,7.06,9
Technology,Chicago,United States,Matt Abelman,10/27/2017,Central,Home Office,10/30/2017,Second Class,Shipped On Time,Illinois,Phones,3,3,0.2,1,13,13,0.47,2,27,41,27.18,34
Technology,Seattle,United States,Chris Cortes,7/8/2016,West,Consumer,7/14/2016,Standard Class,Shipped On Time,Washington,Phones,6,6,0.2,1,10,10,0.09,1,108,162,107.98,135
Office Supplies,Seattle,United States,Chris Cortes,7/8/2016,West,Consumer,7/14/2016,Standard Class,Shipped On Time,Washington,Binders,6,6,0.2,1,6,6,0.31,3,19,29,19.3,24
Office Supplies,Jacksonville,United States,Ruben Ausman,8/9/2015,South,Corporate,8/14/2015,Standard Class,Shipped Early,Florida,Labels,5,6,0.2,1,0,0,0.08,2,5,7,4.61,6
Furniture,Franklin,United States,Damala Kotsonis,12/9/2016,South,Corporate,12/14/2016,Second Class,Shipped Late,Tennessee,Tables,5,3,0.2,1,31,31,0.29,3,107,120,79.97,133
Office Supplies,Franklin,United States,Damala Kotsonis,12/9/2016,South,Corporate,12/14/2016,Second Class,Shipped Late,Tennessee,Binders,5,3,0.7,1,1,1,0.31,2,3,4,2.95,10
Office Supplies,Highland Park,United States,Laurel Beltran,11/13/2016,Central,Home Office,11/17/2016,Standard Class,Shipped Early,Illinois,Binders,4,6,0.8,1,1,1,0.36,2,3,5,3.14,15
Office Supplies,Pasadena,United States,Candace McMahon,11/14/2014,Central,Corporate,11/15/2014,First Class,Shipped On Time,Texas,Paper,1,1,0.2,1,-8,-8,-0.37,4,21,31,20.74,26
Technology,San Francisco,United States,Thomas Seio,11/17/2014,West,Corporate,11/19/2014,First Class,Shipped Late,California,Accessories,2,1,0,1,-70,-70,-0.7,2,100,150,99.98,100
Office Supplies,San Francisco,United States,Thomas Seio,11/17/2014,West,Corporate,11/19/2014,First Class,Shipped Late,California,Paper,2,1,0,1,-1101,-1101,-1.5,7,734,1099,733.95,734
Office Supplies,San Francisco,United States,Thomas Seio,11/17/2014,West,Corporate,11/19/2014,First Class,Shipped Late,California,Appliances,2,1,0,1,84,84,0.35,3,241,362,241.44,241
Office Supplies,Miami,United States,Randy Ferguson,3/4/2016,South,Corporate,3/8/2016,Second Class,Shipped Late,Florida,Labels,4,3,0.2,1,1,1,0.08,4,10,15,10.08,13
Office Supplies,Philadelphia,United States,Jill Fjeld,10/11/2014,East,Consumer,10/15/2014,Standard Class,Shipped Early,Pennsylvania,Storage,4,6,0.2,1,135,135,0.48,2,282,422,281.9,353
Office Supplies,Philadelphia,United States,Jill Fjeld,10/11/2014,East,Consumer,10/15/2014,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,0.2,1,60,60,0.3,3,201,302,201.43,251
Technology,Decatur,United States,Evan Henry,5/22/2014,South,Consumer,5/29/2014,Standard Class,Shipped Late,Alabama,Phones,7,6,0,1,48,48,0.35,2,136,204,135.98,136
Technology,Decatur,United States,Evan Henry,5/22/2014,South,Consumer,5/29/2014,Standard Class,Shipped Late,Alabama,Phones,7,6,0,1,2,2,0.04,1,45,67,44.95,45
Technology,Sioux Falls,United States,Victoria Wilson,7/15/2014,Central,Corporate,7/19/2014,Standard Class,Shipped Early,South Dakota,Accessories,4,6,0,1,1,1,0.34,3,3,4,2.97,3
Office Supplies,Sioux Falls,United States,Victoria Wilson,7/15/2014,Central,Corporate,7/19/2014,Standard Class,Shipped Early,South Dakota,Fasteners,4,6,0,1,2,2,0.25,3,7,10,6.54,7
Technology,Visalia,United States,Kean Nguyen,12/27/2015,West,Corporate,12/29/2015,Second Class,Shipped Early,California,Accessories,2,3,0,1,2,2,0.28,8,8,12,7.92,8
Furniture,Los Angeles,United States,Sarah Jordon,2/9/2015,West,Consumer,2/16/2015,Standard Class,Shipped Late,California,Chairs,7,6,0.2,1,90,90,0.44,5,204,305,203.92,255
Technology,Los Angeles,United States,Penelope Sewall,5/8/2017,West,Home Office,5/12/2017,Standard Class,Shipped Early,California,Copiers,4,6,0.2,1,1378,1378,0.41,6,3360,5032,3359.95,4200
Office Supplies,Overland Park,United States,Kalyca Meade,11/2/2017,Central,Corporate,11/6/2017,Standard Class,Shipped Early,Kansas,Fasteners,4,6,0,1,8,8,0.44,3,18,27,18.24,18
Office Supplies,Overland Park,United States,Kalyca Meade,11/2/2017,Central,Corporate,11/6/2017,Standard Class,Shipped Early,Kansas,Art,4,6,0,1,3,3,0.11,6,28,42,27.78,28
Office Supplies,Alexandria,United States,Greg Maxwell,4/5/2014,South,Corporate,4/9/2014,Second Class,Shipped Late,Virginia,Art,4,3,0,1,7,7,0.31,7,23,34,22.96,23
Technology,Alexandria,United States,Greg Maxwell,4/5/2014,South,Corporate,4/9/2014,Second Class,Shipped Late,Virginia,Phones,4,3,0,1,15,15,0.5,1,29,43,28.99,29
Office Supplies,Alexandria,United States,Greg Maxwell,4/5/2014,South,Corporate,4/9/2014,Second Class,Shipped Late,Virginia,Paper,4,3,0,1,4,4,0.33,2,13,19,12.96,13
Office Supplies,Alexandria,United States,Greg Maxwell,4/5/2014,South,Corporate,4/9/2014,Second Class,Shipped Late,Virginia,Art,4,3,0,1,8,8,0.33,7,23,34,22.96,23
Office Supplies,Alexandria,United States,Greg Maxwell,4/5/2014,South,Corporate,4/9/2014,Second Class,Shipped Late,Virginia,Supplies,4,3,0.05,1,949,949,0.24,5,3956,6236,4164.05,4164
Technology,Raleigh,United States,Kean Takahito,9/17/2014,South,Consumer,9/24/2014,Standard Class,Shipped Late,North Carolina,Accessories,7,6,0.2,1,24,24,0.49,2,48,72,47.98,60
Office Supplies,Raleigh,United States,Kean Takahito,9/17/2014,South,Consumer,9/24/2014,Standard Class,Shipped Late,North Carolina,Paper,7,6,0.2,1,1,1,0.29,1,5,7,4.62,6
Furniture,New York City,United States,Maya Herman,9/30/2014,East,Corporate,10/6/2014,Standard Class,Shipped On Time,New York,Furnishings,6,6,0,1,0,0,0.02,3,15,23,15.24,15
Office Supplies,Fairfield,United States,Art Foster,9/12/2014,East,Consumer,9/17/2014,Standard Class,Shipped Early,Ohio,Binders,5,6,0.7,1,18,18,0.28,7,64,96,63.92,213
Office Supplies,Muskogee,United States,Julie Prescott,2/20/2017,Central,Home Office,2/25/2017,Standard Class,Shipped Early,Oklahoma,Art,5,6,0,1,3,3,0.36,2,7,10,6.56,7
Office Supplies,Muskogee,United States,Julie Prescott,2/20/2017,Central,Home Office,2/25/2017,Standard Class,Shipped Early,Oklahoma,Appliances,5,6,0,1,4,4,0.34,3,13,20,13.11,13
Technology,Temecula,United States,Rob Dowd,12/13/2015,West,Consumer,12/15/2015,First Class,Shipped Late,California,Phones,2,1,0.2,1,-361,-361,-0.73,3,494,740,494.38,618
Office Supplies,Temecula,United States,Rob Dowd,12/13/2015,West,Consumer,12/15/2015,First Class,Shipped Late,California,Binders,2,1,0.2,1,8,8,0.29,5,29,44,29.2,36
Technology,Temecula,United States,Rob Dowd,12/13/2015,West,Consumer,12/15/2015,First Class,Shipped Late,California,Accessories,2,1,0,1,65,65,0.26,5,249,373,248.85,249
Technology,Temecula,United States,Rob Dowd,12/13/2015,West,Consumer,12/15/2015,First Class,Shipped Late,California,Accessories,2,1,0,1,4,4,0.1,1,36,54,36.24,36
Office Supplies,Sterling Heights,United States,Jason Fortune-,10/30/2016,Central,Consumer,11/4/2016,Standard Class,Shipped Early,Michigan,Art,5,6,0,1,4,4,0.34,2,12,17,11.68,12
Office Supplies,San Diego,United States,Clytie Kelty,12/26/2014,West,Consumer,12/30/2014,Standard Class,Shipped Early,California,Supplies,4,6,0.05,1,1,1,0.06,3,11,18,11.91,12
Furniture,San Diego,United States,Clytie Kelty,12/26/2014,West,Consumer,12/30/2014,Standard Class,Shipped Early,California,Furnishings,4,6,0,1,1,1,0.42,2,3,5,3.48,3
Office Supplies,Dallas,United States,Keith Herrera,8/15/2014,Central,Consumer,8/18/2014,First Class,Shipped Late,Texas,Binders,3,1,0.8,1,9,9,0.3,8,31,46,30.96,155
Technology,New York City,United States,Corinna Mitchell,10/1/2017,East,Home Office,10/3/2017,First Class,Shipped Late,New York,Machines,2,1,0,1,17,17,0.01,11,1705,2553,1704.89,1705
Office Supplies,Phoenix,United States,Emily Burns,5/23/2015,West,Consumer,5/30/2015,Standard Class,Shipped Late,Arizona,Binders,7,6,0.7,1,6,6,0.32,7,19,29,19.19,63
Office Supplies,Phoenix,United States,Emily Burns,5/23/2015,West,Consumer,5/30/2015,Standard Class,Shipped Late,Arizona,Appliances,7,6,0.2,1,-207,-207,-1.7,4,122,182,121.79,153
Technology,San Francisco,United States,Mitch Willingham,11/16/2017,West,Corporate,11/16/2017,Same Day,Shipped On Time,California,Machines,0,0,0.2,1,864,864,0.45,3,1920,2875,1919.98,2400
Office Supplies,Philadelphia,United States,Carlos Soltero,11/18/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,1,-34,-34,-0.67,1,51,76,51,170
Office Supplies,Philadelphia,United States,Carlos Soltero,11/18/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,Pennsylvania,Storage,4,6,0.2,1,8,8,0.11,1,77,115,76.79,96
Technology,Philadelphia,United States,Carlos Soltero,11/18/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,Pennsylvania,Phones,4,6,0.4,1,59,59,0.11,6,540,809,539.96,900
Furniture,Philadelphia,United States,Carlos Soltero,11/18/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,0.2,1,-48,-48,-0.8,3,60,90,60.31,75
Office Supplies,Philadelphia,United States,Carlos Soltero,11/18/2014,East,Consumer,11/22/2014,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,1,0,0,-0.21,3,2,3,1.94,7
Office Supplies,Laredo,United States,Stefania Perrino,12/30/2014,Central,Corporate,1/1/2015,Second Class,Shipped Early,Texas,Envelopes,2,3,0.2,1,-3,-3,-0.2,3,13,19,12.98,16
Technology,Laredo,United States,Stefania Perrino,12/30/2014,Central,Corporate,1/1/2015,Second Class,Shipped Early,Texas,Phones,2,3,0.2,1,20,20,0.09,2,218,326,217.58,273
Technology,Laredo,United States,Stefania Perrino,12/30/2014,Central,Corporate,1/1/2015,Second Class,Shipped Early,Texas,Phones,2,3,0.2,1,-240,-240,-0.73,3,329,492,328.78,411
Office Supplies,Laredo,United States,Stefania Perrino,12/30/2014,Central,Corporate,1/1/2015,Second Class,Shipped Early,Texas,Binders,2,3,0.8,1,1,1,0.36,3,2,3,2.29,10
Technology,Laredo,United States,Stefania Perrino,12/30/2014,Central,Corporate,1/1/2015,Second Class,Shipped Early,Texas,Accessories,2,3,0.2,1,4,4,0.09,2,48,72,47.98,60
Office Supplies,New York City,United States,Grant Thornton,11/5/2015,East,Corporate,11/11/2015,Standard Class,Shipped On Time,New York,Binders,6,6,0.2,1,2,2,0.09,6,25,38,25.34,31
Office Supplies,New York City,United States,Luke Weiss,9/17/2016,East,Consumer,9/22/2016,Standard Class,Shipped Early,New York,Binders,5,6,0.2,1,-371,-371,-1.6,5,232,348,232.4,290
Furniture,Gulfport,United States,Aaron Hawkins,3/20/2016,South,Corporate,3/25/2016,Second Class,Shipped Late,Mississippi,Furnishings,5,3,0,1,26,26,0.3,7,86,129,86.45,86
Furniture,San Diego,United States,Thea Hendricks,9/27/2014,West,Consumer,10/1/2014,Standard Class,Shipped Early,California,Chairs,4,6,0.2,1,211,211,0.35,5,604,904,603.92,755
Office Supplies,San Diego,United States,Thea Hendricks,9/27/2014,West,Consumer,10/1/2014,Standard Class,Shipped Early,California,Paper,4,6,0,1,28,28,0.34,2,82,123,81.98,82
Furniture,Oceanside,United States,Hunter Glantz,12/24/2017,East,Consumer,12/28/2017,Standard Class,Shipped Early,New York,Chairs,4,6,0.1,1,120,120,0.44,2,272,407,271.76,302
Office Supplies,Oceanside,United States,Hunter Glantz,12/24/2017,East,Consumer,12/28/2017,Standard Class,Shipped Early,New York,Binders,4,6,0.2,1,1,1,0.08,3,14,22,14.38,18
Furniture,Round Rock,United States,Edward Becker,11/10/2017,Central,Corporate,11/15/2017,Second Class,Shipped Late,Texas,Furnishings,5,3,0.6,1,168,168,0.49,5,342,512,341.96,855
Office Supplies,Redlands,United States,Steven Cartwright,9/11/2015,West,Consumer,9/15/2015,Standard Class,Shipped Early,California,Art,4,6,0,1,33,33,0.18,9,181,272,181.35,181
Office Supplies,Redlands,United States,Steven Cartwright,9/11/2015,West,Consumer,9/15/2015,Standard Class,Shipped Early,California,Labels,4,6,0,1,3,3,0.34,3,9,13,8.64,9
Office Supplies,Columbia,United States,Tony Sayre,12/20/2014,South,Consumer,12/25/2014,Standard Class,Shipped Early,Tennessee,Appliances,5,6,0.2,1,-55,-55,-1.25,7,44,65,43.51,55
Furniture,Columbia,United States,Tony Sayre,12/20/2014,South,Consumer,12/25/2014,Standard Class,Shipped Early,Tennessee,Chairs,5,6,0.2,1,179,179,0.27,3,663,993,662.88,829
Office Supplies,Columbia,United States,Tony Sayre,12/20/2014,South,Consumer,12/25/2014,Standard Class,Shipped Early,Tennessee,Paper,5,6,0.2,1,13,13,0.49,5,26,39,25.92,33
Office Supplies,New York City,United States,Tracy Hopkins,7/23/2015,East,Home Office,7/27/2015,Standard Class,Shipped Early,New York,Appliances,4,6,0,1,6,6,0.09,3,69,103,68.94,69
Furniture,New York City,United States,Tracy Hopkins,7/23/2015,East,Home Office,7/27/2015,Standard Class,Shipped Early,New York,Furnishings,4,6,0,1,14,14,0.11,3,129,193,128.82,129
Office Supplies,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Binders,4,6,0.8,1,314,314,0.35,5,897,1343,896.99,4485
Office Supplies,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Binders,4,6,0.8,1,0,0,0.3,1,1,2,1.23,5
Office Supplies,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Art,4,6,0.2,1,27,27,0.39,3,68,101,67.56,85
Office Supplies,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Paper,4,6,0.2,1,-36,-36,-1.65,5,22,33,21.72,28
Office Supplies,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Paper,4,6,0.2,1,-419,-419,-1.6,8,262,393,262.34,328
Technology,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,1,15,15,0.1,2,148,222,148.48,185
Technology,Houston,United States,Karen Daniels,11/11/2014,Central,Consumer,11/15/2014,Standard Class,Shipped Early,Texas,Phones,4,6,0.2,1,87,87,0.36,3,241,361,241.18,301
Technology,Chicago,United States,Gary Mitchum,12/14/2017,Central,Home Office,12/20/2017,Standard Class,Shipped On Time,Illinois,Accessories,6,6,0.2,1,82,82,0.36,3,228,341,227.98,285
Technology,Chicago,United States,Gary Mitchum,12/14/2017,Central,Home Office,12/20/2017,Standard Class,Shipped On Time,Illinois,Phones,6,6,0.2,1,6,6,0.11,3,53,79,52.68,66
Furniture,Chicago,United States,Gary Mitchum,12/14/2017,Central,Home Office,12/20/2017,Standard Class,Shipped On Time,Illinois,Furnishings,6,6,0.6,1,0,0,0.06,1,2,3,2.03,5
Office Supplies,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Art,1,1,0,1,2,2,0.13,4,17,26,17.12,17
Technology,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Phones,1,1,0.2,1,164,164,0.38,4,432,647,431.97,540
Furniture,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Furnishings,1,1,0,1,-85,-85,-0.65,4,130,195,129.92,130
Furniture,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Tables,1,1,0.2,1,165,165,0.29,3,569,852,568.73,711
Office Supplies,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Binders,1,1,0.2,1,11,11,0.09,9,117,175,117.14,146
Office Supplies,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Appliances,1,1,0,1,16,16,0.08,3,204,305,203.52,204
Office Supplies,Oakland,United States,Patrick Ryan,8/21/2017,West,Consumer,8/22/2017,First Class,Shipped On Time,California,Labels,1,1,0,1,3,3,0.05,5,52,78,51.75,52
Office Supplies,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Paper,5,3,0,1,44,44,0.36,3,123,184,122.97,123
Furniture,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Tables,5,3,0.2,1,104,104,0.37,1,280,366,244.61,350
Technology,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Phones,5,3,0,1,29,29,0.48,3,60,90,59.97,60
Office Supplies,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Paper,5,3,0,1,40,40,0.49,9,82,122,81.54,82
Office Supplies,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Fasteners,5,3,0,1,1,1,0.09,4,12,17,11.68,12
Office Supplies,Quincy,United States,Ted Butterfield,8/27/2016,East,Consumer,9/1/2016,Second Class,Shipped Late,Massachusetts,Binders,5,3,0,1,14,14,0.48,5,29,43,29,29
Office Supplies,Yucaipa,United States,Odella Nelson,8/13/2015,West,Corporate,8/20/2015,Standard Class,Shipped Late,California,Art,7,6,0,1,23,23,0.45,5,51,76,50.8,51
Office Supplies,Chicago,United States,Alan Haines,11/5/2017,Central,Corporate,11/7/2017,First Class,Shipped Late,Illinois,Binders,2,1,0.8,1,7,7,0.45,5,16,24,16.03,80
Office Supplies,Seattle,United States,Neoma Murray,8/17/2016,West,Consumer,8/21/2016,Standard Class,Shipped Early,Washington,Binders,4,6,0.2,1,8,8,0.48,4,16,24,15.71,20
Technology,New York City,United States,Andrew Roberts,12/26/2016,East,Consumer,12/31/2016,Standard Class,Shipped Early,New York,Accessories,5,6,0,1,23,23,0.26,3,90,135,89.97,90
Furniture,San Diego,United States,Brian Moss,9/23/2014,West,Corporate,9/28/2014,Standard Class,Shipped Early,California,Bookcases,5,6,0.15,1,-698,-698,-1.6,3,436,653,436,513
Technology,San Diego,United States,Brian Moss,9/23/2014,West,Corporate,9/28/2014,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,30,30,0.36,2,84,126,83.98,105
Technology,Bristol,United States,Christine Abelman,7/19/2014,East,Corporate,7/24/2014,Standard Class,Shipped Early,Connecticut,Phones,5,6,0,1,76,76,0.21,2,360,539,359.98,360
Furniture,Bristol,United States,Christine Abelman,7/19/2014,East,Corporate,7/24/2014,Standard Class,Shipped Early,Connecticut,Tables,5,6,0.2,1,12,12,0.15,1,81,106,70.56,101
Office Supplies,Bristol,United States,Christine Abelman,7/19/2014,East,Corporate,7/24/2014,Standard Class,Shipped Early,Connecticut,Binders,5,6,0,1,8,8,0.38,2,21,31,20.88,21
Office Supplies,Bristol,United States,Christine Abelman,7/19/2014,East,Corporate,7/24/2014,Standard Class,Shipped Early,Connecticut,Binders,5,6,0,1,1,1,0.26,1,4,6,3.81,4
Office Supplies,Chicago,United States,Nicole Fjeld,9/7/2017,Central,Home Office,9/13/2017,Standard Class,Shipped On Time,Illinois,Paper,6,6,0.2,1,-4,-4,-0.06,9,73,109,73.01,91
Office Supplies,Chicago,United States,Art Ferguson,5/6/2016,Central,Consumer,5/10/2016,Standard Class,Shipped Early,Illinois,Binders,4,6,0.8,1,1,1,0.46,2,3,5,3.21,15
Technology,Chicago,United States,Art Ferguson,5/6/2016,Central,Consumer,5/10/2016,Standard Class,Shipped Early,Illinois,Accessories,4,6,0.2,1,12,12,0.48,2,26,39,26.18,33
Office Supplies,New York City,United States,Tracy Collins,6/4/2015,East,Home Office,6/8/2015,Second Class,Shipped Late,New York,Paper,4,3,0,1,11,11,0.36,4,30,46,30.44,30
Furniture,New York City,United States,Tracy Collins,6/4/2015,East,Home Office,6/8/2015,Second Class,Shipped Late,New York,Furnishings,4,3,0,1,-58,-58,-1.65,3,35,53,35.28,35
Office Supplies,Revere,United States,Dean percer,12/13/2015,East,Home Office,12/20/2015,Standard Class,Shipped Late,Massachusetts,Paper,7,6,0,1,-2,-2,-0.13,3,19,29,19.44,19
Office Supplies,Revere,United States,Dean percer,12/13/2015,East,Home Office,12/20/2015,Standard Class,Shipped Late,Massachusetts,Binders,7,6,0,1,18,18,0.47,2,38,57,37.88,38
Furniture,Houston,United States,Mark Cousins,7/16/2016,Central,Corporate,7/18/2016,Second Class,Shipped Early,Texas,Furnishings,2,3,0.6,1,3,3,0.34,3,10,14,9.55,25
Furniture,Mission Viejo,United States,Liz Carlisle,1/31/2014,West,Consumer,2/2/2014,First Class,Shipped Late,California,Bookcases,2,1,0.15,1,140,140,0.48,2,291,435,290.67,342
Office Supplies,Dallas,United States,Brian Moss,7/9/2014,Central,Corporate,7/15/2014,Standard Class,Shipped On Time,Texas,Paper,6,6,0.2,1,5,5,0.5,2,10,16,10.37,13
Office Supplies,Dallas,United States,Brian Moss,7/9/2014,Central,Corporate,7/15/2014,Standard Class,Shipped On Time,Texas,Paper,6,6,0.2,1,-6,-6,-0.4,3,14,21,14.35,18
Furniture,Las Vegas,United States,Natalie Webber,11/21/2015,West,Consumer,11/25/2015,Standard Class,Shipped Early,Nevada,Bookcases,4,6,0.15,1,-17,-17,-0.14,2,121,213,141.96,142
Office Supplies,Las Vegas,United States,Natalie Webber,11/21/2015,West,Consumer,11/25/2015,Standard Class,Shipped Early,Nevada,Binders,4,6,0.2,1,23,23,0.35,4,66,99,66.05,83
Technology,Norman,United States,Toby Braunhardt,3/25/2016,Central,Consumer,3/25/2016,Same Day,Shipped On Time,Oklahoma,Accessories,0,0,0,1,399,399,0.31,5,1287,1928,1287.45,1287
Office Supplies,San Francisco,United States,Bruce Stewart,9/23/2017,West,Consumer,9/30/2017,Standard Class,Shipped Late,California,Binders,7,6,0.2,1,8,8,0.29,6,26,39,25.82,33
