Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic,Discount
Office Supplies,San Bernardino,United States,Berenike Kampe,3/19/2015,West,Consumer,3/23/2015,Standard Class,Shipped Early,California,Paper,4,6,0.25,1,7,19.67,0.24,6,30,60,40.14,40,0
Office Supplies,Providence,United States,Rick Huthwaite,9/19/2016,East,Home Office,9/21/2016,First Class,Shipped Late,Rhode Island,Storage,2,1,0.25,1,60,481.87,0.05,9,1204.5,2405,1606.23,1606,0
Office Supplies,Providence,United States,Rick Huthwaite,9/19/2016,East,Home Office,9/21/2016,First Class,Shipped Late,Rhode Island,Paper,2,1,0.25,1,3,7.67,0.2,3,12.75,26,17.04,17,0
Office Supplies,Providence,United States,Rick Huthwaite,9/19/2016,East,Home Office,9/21/2016,First Class,Shipped Late,Rhode Island,Binders,2,1,0.25,1,9,23.77,0.23,3,37.5,74,49.53,50,0
Furniture,Providence,United States,Rick Huthwaite,9/19/2016,East,Home Office,9/21/2016,First Class,Shipped Late,Rhode Island,Chairs,2,1,0.18,1,72,244.25,0.1,4,715.04,1306,872.32,872,0
Office Supplies,Fresno,United States,Gene McClure,8/20/2017,West,Consumer,8/22/2017,Second Class,Shipped Early,California,Binders,2,3,0.25,1,63,77.71,0.28,5,224.0625,358,239.12,299,0.2
Furniture,Seattle,United States,Marc Crier,3/13/2015,West,Consumer,3/15/2015,First Class,Shipped Late,Washington,Bookcases,2,1,0.18,1,12,39.75,0.1,2,116.44,213,141.96,142,0
Office Supplies,Lancaster,United States,Valerie Mitchum,9/8/2016,West,Home Office,9/10/2016,Second Class,Shipped Early,California,Binders,2,3,0.25,1,9,11.56,0.3,2,30.9375,49,33.02,41,0.2
Office Supplies,Lancaster,United States,Valerie Mitchum,9/8/2016,West,Home Office,9/10/2016,Second Class,Shipped Early,California,Binders,2,3,0.25,1,19,23.5,0.3,4,62.8125,101,67.14,84,0.2
Office Supplies,Leominster,United States,Guy Phonely,11/26/2015,East,Corporate,11/30/2015,Standard Class,Shipped Early,Massachusetts,Binders,4,6,0.25,1,2,6.92,0.22,3,11.25,22,14.73,15,0
Office Supplies,Leominster,United States,Guy Phonely,11/26/2015,East,Corporate,11/30/2015,Standard Class,Shipped Early,Massachusetts,Storage,4,6,0.25,1,-1,25.18,-0.01,5,78.75,157,104.9,105,0
Office Supplies,Leominster,United States,Guy Phonely,11/26/2015,East,Corporate,11/30/2015,Standard Class,Shipped Early,Massachusetts,Binders,4,6,0.25,1,11,30.52,0.25,4,45.75,91,61.04,61,0
Office Supplies,Leominster,United States,Guy Phonely,11/26/2015,East,Corporate,11/30/2015,Standard Class,Shipped Early,Massachusetts,Paper,4,6,0.25,1,2,5.15,0.22,3,8.25,16,10.95,11,0
Office Supplies,Fort Worth,United States,George Bell,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Texas,Paper,4,6,0.25,1,3,3.29,0.3,2,8.4375,14,9.39,11,0.2
Office Supplies,Fort Worth,United States,George Bell,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Texas,Art,4,6,0.25,1,0,0.82,0.04,1,8.4375,14,9.33,11,0.2
Office Supplies,Rochester,United States,Carol Triggs,9/25/2017,Central,Consumer,9/29/2017,Standard Class,Shipped Early,Minnesota,Binders,4,6,0.25,1,1,3.88,0.22,2,6,12,8.26,8,0
Furniture,Rochester,United States,Carol Triggs,9/25/2017,Central,Consumer,9/29/2017,Standard Class,Shipped Early,Minnesota,Chairs,4,6,0.18,1,2,51.29,0.01,3,221.4,404,269.97,270,0
Office Supplies,Bozeman,United States,Carl Weiss,1/23/2015,West,Home Office,1/27/2015,Standard Class,Shipped Early,Montana,Paper,4,6,0.25,1,5,13.94,0.23,3,21.75,43,29.04,29,0
Office Supplies,Bozeman,United States,Carl Weiss,1/23/2015,West,Home Office,1/27/2015,Standard Class,Shipped Early,Montana,Labels,4,6,0.25,1,2,6.87,0.22,2,11.25,22,14.62,15,0
Office Supplies,Peoria,United States,Skye Norling,6/18/2015,West,Home Office,6/23/2015,Standard Class,Shipped Early,Arizona,Paper,5,6,0.25,1,3,4.33,0.31,3,11.25,18,11.95,15,0.2
Office Supplies,Peoria,United States,Skye Norling,6/18/2015,West,Home Office,6/23/2015,Standard Class,Shipped Early,Arizona,Binders,5,6,0.25,1,-4,-3.33,-0.28,7,12.5,7,4.54,17,0.7
Office Supplies,Peoria,United States,Skye Norling,6/18/2015,West,Home Office,6/23/2015,Standard Class,Shipped Early,Arizona,Binders,5,6,0.25,1,-5,-6.1,-0.22,2,22.5,14,9.16,30,0.7
Furniture,Peoria,United States,Skye Norling,6/18/2015,West,Home Office,6/23/2015,Standard Class,Shipped Early,Arizona,Furnishings,5,6,0.18,1,23,20.72,0.3,5,76.875,113,75.36,94,0.2
Office Supplies,San Diego,United States,Ed Braxton,10/2/2015,West,Corporate,10/8/2015,Standard Class,Shipped On Time,California,Binders,6,6,0.25,1,16,20.13,0.3,6,54.375,86,57.5,73,0.2
Office Supplies,Lakewood,United States,Jane Waco,11/18/2017,East,Corporate,11/23/2017,Standard Class,Shipped Early,Ohio,Art,5,6,0.25,1,5,7.77,0.15,7,36.5625,58,38.86,49,0.2
Office Supplies,Houston,United States,Ken Black,8/17/2014,Central,Corporate,8/23/2014,Standard Class,Shipped On Time,Texas,Paper,6,6,0.25,1,5,5.44,0.3,3,15,23,15.55,20,0.2
Office Supplies,Perth Amboy,United States,Matt Collister,7/17/2016,East,Corporate,7/21/2016,Standard Class,Shipped Early,New Jersey,Appliances,4,6,0.25,1,4,45.54,0.03,2,122.25,244,162.64,163,0
Technology,Perth Amboy,United States,Matt Collister,7/17/2016,East,Corporate,7/21/2016,Standard Class,Shipped Early,New Jersey,Phones,4,6,0.2,1,129,280.59,0.27,3,477.6,894,597,597,0
Office Supplies,Perth Amboy,United States,Matt Collister,7/17/2016,East,Corporate,7/21/2016,Standard Class,Shipped Early,New Jersey,Paper,4,6,0.25,1,9,26.63,0.23,1,41.25,83,55.48,55,0
Furniture,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Furnishings,2,1,0.18,1,45,36.22,0.15,7,297.25,434,289.8,363,0.2
Office Supplies,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Binders,2,1,0.25,1,-3,-2,-0.35,3,7.5,4,2.5,10,0.7
Office Supplies,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Binders,2,1,0.25,1,-4,-4.75,-0.28,4,15,10,6.48,20,0.7
Furniture,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Chairs,2,1,0.18,1,-36,-73.18,-0.09,8,399.4571429,511,341.49,487,0.3
Office Supplies,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Art,2,1,0.25,1,0,0.83,0.03,5,10.3125,17,11.12,14,0.2
Furniture,Philadelphia,United States,Clytie Kelty,7/11/2015,East,Consumer,7/13/2015,First Class,Shipped Late,Pennsylvania,Furnishings,2,1,0.18,1,4,3.48,0.16,6,25.625,38,25.34,31,0.2
Furniture,Richmond,United States,Rick Duston,12/1/2016,Central,Consumer,12/7/2016,Standard Class,Shipped On Time,Indiana,Furnishings,6,6,0.18,1,2,5.19,0.12,3,13.94,26,17.31,17,0
Technology,Detroit,United States,Theone Pippenger,12/22/2017,Central,Consumer,12/25/2017,First Class,Shipped Late,Michigan,Accessories,3,1,0.2,1,19,63.98,0.12,5,160,299,199.95,200,0
Furniture,Detroit,United States,Theone Pippenger,12/22/2017,Central,Consumer,12/25/2017,First Class,Shipped Late,Michigan,Chairs,3,1,0.18,1,104,412.54,0.08,7,1301.34,2376,1586.69,1587,0
Technology,Detroit,United States,Theone Pippenger,12/22/2017,Central,Consumer,12/25/2017,First Class,Shipped Late,Michigan,Accessories,3,1,0.2,1,11,30.6,0.16,1,68,127,84.99,85,0
Furniture,Detroit,United States,Theone Pippenger,12/22/2017,Central,Consumer,12/25/2017,First Class,Shipped Late,Michigan,Tables,3,1,0.18,1,-3,70.01,-0.01,2,337.84,617,411.8,412,0
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Fasteners,4,6,0.25,1,2,5.22,0.21,3,8.25,17,11.34,11,0
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Storage,4,6,0.25,1,1,20.88,0.01,5,60,120,80.3,80,0
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Binders,4,6,0.25,1,4,5.39,0.29,2,15,24,15.97,20,0.2
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Paper,4,6,0.25,1,11,30.43,0.22,13,48.75,97,64.74,65,0
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Binders,4,6,0.25,1,5,6.03,0.26,3,17.8125,29,19.3,24,0.2
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Storage,4,6,0.25,1,-67,12.17,-0.22,4,304.5,607,405.64,406,0
Furniture,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Chairs,4,6,0.18,1,-6,-9.15,-0.04,3,149.65,219,146.35,183,0.2
Technology,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Accessories,4,6,0.2,1,-2,47.86,-0.01,9,201.6,377,251.91,252,0
Office Supplies,Los Angeles,United States,Greg Guthrie,10/31/2014,West,Corporate,11/4/2014,Standard Class,Shipped Early,California,Art,4,6,0.25,1,0,3.72,0.05,3,9,19,12.39,12,0
Technology,Pomona,United States,Zuschuss Carroll,4/13/2015,West,Consumer,4/19/2015,Standard Class,Shipped On Time,California,Accessories,6,6,0.2,1,24,69.99,0.15,4,160,299,199.96,200,0
Furniture,Pomona,United States,Zuschuss Carroll,4/13/2015,West,Consumer,4/19/2015,Standard Class,Shipped On Time,California,Tables,6,6,0.18,1,-87,-97.74,-0.12,3,728.775,1065,710.83,889,0.2
Office Supplies,Philadelphia,United States,Corey Catlett,7/21/2016,East,Corporate,7/23/2016,Second Class,Shipped Early,Pennsylvania,Binders,2,3,0.25,1,-1,-1.29,-0.22,1,5,3,1.94,7,0.7
Furniture,Ontario,United States,Kelly Andreada,11/20/2017,West,Consumer,11/25/2017,Standard Class,Shipped Early,California,Chairs,5,6,0.18,1,-41,-46.14,-0.14,5,291.1,425,283.92,355,0.2
Office Supplies,Seattle,United States,Tamara Chand,11/26/2016,West,Corporate,12/2/2016,Standard Class,Shipped On Time,Washington,Binders,6,6,0.25,1,2,2.56,0.3,2,6.5625,11,7.31,9,0.2
Technology,Brentwood,United States,Deborah Brumfield,11/7/2017,West,Home Office,11/12/2017,Second Class,Shipped Late,California,Accessories,5,3,0.2,1,1,13.79,0.03,3,48,90,59.97,60,0
Technology,Brentwood,United States,Deborah Brumfield,11/7/2017,West,Home Office,11/12/2017,Second Class,Shipped Late,California,Phones,5,3,0.2,1,69,66.64,0.09,7,762,1140,761.54,953,0.2
Furniture,San Francisco,United States,Toby Ritter,12/1/2014,West,Consumer,12/5/2014,Standard Class,Shipped Early,California,Furnishings,4,6,0.18,1,15,28.52,0.31,3,47.56,87,58.2,58,0
Office Supplies,Baltimore,United States,Bart Folk,9/12/2017,East,Consumer,9/15/2017,First Class,Shipped Late,Maryland,Paper,3,1,0.25,1,8,19.95,0.25,5,30,60,39.9,40,0
Office Supplies,Baltimore,United States,Bart Folk,9/12/2017,East,Consumer,9/15/2017,First Class,Shipped Late,Maryland,Appliances,3,1,0.25,1,3,26.35,0.04,7,68.25,136,90.86,91,0
Office Supplies,Baltimore,United States,Bart Folk,9/12/2017,East,Consumer,9/15/2017,First Class,Shipped Late,Maryland,Paper,3,1,0.25,1,16,45.53,0.23,5,71.25,142,94.85,95,0
Office Supplies,Phoenix,United States,Maribeth Schnelling,12/24/2015,West,Consumer,12/29/2015,Standard Class,Shipped Early,Arizona,Paper,5,6,0.25,1,30,37.18,0.3,7,99.375,159,106.23,133,0.2
Technology,Phoenix,United States,Maribeth Schnelling,12/24/2015,West,Consumer,12/29/2015,Standard Class,Shipped Early,Arizona,Phones,5,6,0.2,1,11,11.2,0.1,2,112,168,111.98,140,0.2
Furniture,Phoenix,United States,Maribeth Schnelling,12/24/2015,West,Consumer,12/29/2015,Standard Class,Shipped Early,Arizona,Furnishings,5,6,0.18,1,2,1.74,0.25,2,8.2,12,7.71,10,0.2
Office Supplies,Los Angeles,United States,Clytie Kelty,2/23/2017,West,Consumer,3/1/2017,Standard Class,Shipped On Time,California,Paper,6,6,0.25,1,6,16.85,0.2,6,27.75,56,37.44,37,0
Office Supplies,Houston,United States,Emily Ducich,11/23/2014,Central,Home Office,11/29/2014,Standard Class,Shipped On Time,Texas,Labels,6,6,0.25,1,7,8.88,0.33,2,22.5,35,23.68,30,0.2
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,East,Consumer,6/28/2016,Standard Class,Shipped Early,New York,Labels,5,6,0.25,1,19,56.18,0.21,4,91.5,183,122.12,122,0
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,East,Consumer,6/28/2016,Standard Class,Shipped Early,New York,Labels,5,6,0.25,1,3,8.67,0.22,5,13.5,28,18.45,18,0
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,East,Consumer,6/28/2016,Standard Class,Shipped Early,New York,Storage,5,6,0.25,1,-32,38.99,-0.13,5,243.75,487,324.9,325,0
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,East,Consumer,6/28/2016,Standard Class,Shipped Early,New York,Paper,5,6,0.25,1,24,68.96,0.22,3,110.25,220,146.73,147,0
Office Supplies,New York City,United States,Irene Maddox,6/23/2016,East,Consumer,6/28/2016,Standard Class,Shipped Early,New York,Fasteners,5,6,0.25,1,0,1.47,0.12,2,3,6,3.96,4,0
Office Supplies,Rancho Cucamonga,United States,Maribeth Yedwab,10/26/2015,West,Corporate,10/30/2015,Standard Class,Shipped Early,California,Labels,4,6,0.25,1,1,2.65,0.21,2,4.5,9,5.76,6,0
Office Supplies,Wilmington,United States,Magdelene Morse,7/15/2017,East,Consumer,7/19/2017,Standard Class,Shipped Early,Delaware,Binders,4,6,0.25,1,5,13.01,0.24,3,20.25,40,26.55,27,0
Furniture,Wilmington,United States,Magdelene Morse,7/15/2017,East,Consumer,7/19/2017,Standard Class,Shipped Early,Delaware,Tables,4,6,0.18,1,-15,-48.78,-0.04,3,363.1428571,465,310.44,443,0.3
Furniture,Moorhead,United States,Mark Packer,11/17/2014,Central,Home Office,11/21/2014,Standard Class,Shipped Early,Minnesota,Chairs,4,6,0.18,1,-4,81.58,-0.01,5,393.6,719,479.9,480,0
Office Supplies,Farmington,United States,Anthony Witt,4/13/2015,West,Consumer,4/15/2015,Second Class,Shipped Early,New Mexico,Supplies,2,3,0.25,1,-2,0.39,-0.22,1,9.75,19,12.88,13,0
Office Supplies,Wilmington,United States,Sandra Flanagan,11/25/2015,South,Consumer,11/29/2015,Standard Class,Shipped Early,North Carolina,Art,4,6,0.25,1,1,1.48,0.06,5,12.1875,20,13.12,16,0.2
Office Supplies,Jackson,United States,Steve Nguyen,5/15/2016,South,Home Office,5/20/2016,Standard Class,Shipped Early,Mississippi,Binders,5,6,0.25,1,84,240.56,0.22,8,384,767,511.84,512,0
Office Supplies,Jackson,United States,Steve Nguyen,5/15/2016,South,Home Office,5/20/2016,Standard Class,Shipped Early,Mississippi,Art,5,6,0.25,1,2,25.75,0.03,4,69,138,91.96,92,0
Office Supplies,Jackson,United States,Steve Nguyen,5/15/2016,South,Home Office,5/20/2016,Standard Class,Shipped Early,Mississippi,Art,5,6,0.25,1,0,2.17,0.01,3,6,12,8.34,8,0
Office Supplies,Portland,United States,Ruben Dartt,9/7/2017,West,Consumer,9/12/2017,Standard Class,Shipped Early,Oregon,Storage,5,6,0.25,1,0,2.36,0.01,3,35.625,56,37.68,48,0.2
Technology,Portland,United States,Ruben Dartt,9/7/2017,West,Consumer,9/12/2017,Standard Class,Shipped Early,Oregon,Accessories,5,6,0.2,1,81,80.48,0.29,7,280,419,279.94,350,0.2
Office Supplies,Denver,United States,Kean Thornton,3/10/2014,West,Consumer,3/17/2014,Standard Class,Shipped Late,Colorado,Storage,7,6,0.25,1,-48,-15.91,-0.08,3,596.25,953,636.41,795,0.2
Office Supplies,Denver,United States,Kean Thornton,3/10/2014,West,Consumer,3/17/2014,Standard Class,Shipped Late,Colorado,Art,7,6,0.25,1,5,9.36,0.06,4,77.8125,125,83.17,104,0.2
Furniture,Tucson,United States,Adrian Hane,7/18/2014,West,Home Office,7/18/2014,Same Day,Shipped On Time,Arizona,Chairs,0,0,0.18,1,-21,-25.91,-0.08,4,265.475,388,259.14,324,0.2
Office Supplies,New York City,United States,Brian Moss,3/24/2017,East,Corporate,3/28/2017,Second Class,Shipped Late,New York,Paper,4,3,0.25,1,38,106.52,0.23,4,166.5,332,221.92,222,0
Technology,New York City,United States,Brian Moss,3/24/2017,East,Corporate,3/28/2017,Second Class,Shipped Late,New York,Accessories,4,3,0.2,1,5,11.7,0.25,2,20.8,39,26,26,0
Office Supplies,Boynton Beach,United States,Ben Wallace,9/30/2014,South,Consumer,10/5/2014,Standard Class,Shipped Early,Florida,Paper,5,6,0.25,1,5,5.44,0.3,3,15,23,15.55,20,0.2
Office Supplies,Mesquite,United States,Henry Goldwyn,9/26/2014,Central,Corporate,9/26/2014,Same Day,Shipped On Time,Texas,Binders,0,0,0.25,1,-4,-1.4,-1.05,1,3.75,1,0.88,5,0.8
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Paper,0,0,0.25,1,3,9.39,0.22,1,15,30,19.98,20,0
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Binders,0,0,0.25,1,97,124.48,0.26,3,373.125,597,398.35,498,0.2
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Art,0,0,0.25,1,0,1.26,0,3,3.75,8,5.04,5,0
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Fasteners,0,0,0.25,1,3,8.03,0.21,5,12.75,26,17.45,17,0
Furniture,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Chairs,0,0,0.18,1,26,20.2,0.08,4,331.075,484,323.14,404,0.2
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Supplies,0,0,0.25,1,0,8.02,0.02,3,22.5,44,29.7,30,0
Technology,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Phones,0,0,0.2,1,143,145.78,0.11,4,1296,1941,1295.84,1620,0.2
Office Supplies,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Storage,0,0,0.25,1,1,12.65,0.02,2,35.25,70,46.84,47,0
Furniture,Redlands,United States,Sandra Glassco,10/31/2015,West,Consumer,10/31/2015,Same Day,Shipped On Time,California,Bookcases,0,0,0.18,1,8,20.04,0.02,1,410.9647059,638,425.83,501,0.15
Furniture,Rochester,United States,Ralph Kennedy,10/12/2015,East,Consumer,10/17/2015,Second Class,Shipped Late,New York,Tables,5,3,0.18,1,43,-13.98,0.15,1,287,314,209.67,350,0.4
Office Supplies,Stockton,United States,Scot Wooten,9/19/2016,West,Consumer,9/23/2016,Standard Class,Shipped Early,California,Paper,4,6,0.25,1,25,73.54,0.21,7,120,239,159.88,160,0
Office Supplies,Seattle,United States,Rob Williams,4/13/2017,West,Corporate,4/15/2017,First Class,Shipped Late,Washington,Paper,2,1,0.25,1,1,2.38,0.2,1,3.75,8,5.28,5,0
Office Supplies,Seattle,United States,Rob Williams,4/13/2017,West,Corporate,4/15/2017,First Class,Shipped Late,Washington,Binders,2,1,0.25,1,244,302.37,0.29,5,840,1342,895.92,1120,0.2
Office Supplies,Ormond Beach,United States,Thais Sissman,1/7/2017,South,Consumer,1/13/2017,Standard Class,Shipped On Time,Florida,Binders,6,6,0.25,1,-2,-1.97,-0.25,3,7.5,4,2.81,10,0.7
Furniture,Sunnyvale,United States,Jennifer Braxton,11/9/2017,West,Corporate,11/11/2017,First Class,Shipped Late,California,Chairs,2,1,0.18,1,2,-2.7,0.01,3,221.4,323,215.98,270,0.2
Furniture,Lansing,United States,Erica Hernandez,9/22/2017,Central,Home Office,9/24/2017,Second Class,Shipped Early,Michigan,Bookcases,2,3,0.18,1,-2,41.13,-0.01,2,198.44,362,241.96,242,0
Office Supplies,Lansing,United States,Erica Hernandez,9/22/2017,Central,Home Office,9/24/2017,Second Class,Shipped Early,Michigan,Labels,2,3,0.25,1,5,13.31,0.23,9,21,42,27.72,28,0
Office Supplies,Philadelphia,United States,Erica Hernandez,12/1/2017,East,Home Office,12/5/2017,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,0.25,1,29,35.33,0.29,5,98.4375,157,104.68,131,0.2
Technology,Philadelphia,United States,Erica Hernandez,12/1/2017,East,Home Office,12/5/2017,Standard Class,Shipped Early,Pennsylvania,Phones,4,6,0.2,1,29,9.44,0.35,7,84,94,62.96,105,0.4
Technology,Philadelphia,United States,Brian Stugart,6/23/2014,East,Consumer,6/28/2014,Standard Class,Shipped Early,Pennsylvania,Accessories,5,6,0.2,1,1,1.08,0.01,3,86,129,86.38,108,0.2
Furniture,Philadelphia,United States,Julie Kriz,10/4/2015,East,Home Office,10/9/2015,Standard Class,Shipped Early,Pennsylvania,Furnishings,5,6,0.18,1,8,6.49,0.12,3,66.625,97,64.94,81,0.2
Office Supplies,Philadelphia,United States,Julie Kriz,10/4/2015,East,Home Office,10/9/2015,Standard Class,Shipped Early,Pennsylvania,Paper,5,6,0.25,1,6,7.26,0.3,4,19.6875,31,20.74,26,0.2
Office Supplies,Dover,United States,Randy Ferguson,5/20/2014,East,Corporate,5/22/2014,Second Class,Shipped Early,New Hampshire,Appliances,2,3,0.25,1,1,9.32,0.03,4,24.75,50,33.28,33,0
Office Supplies,Dover,United States,Randy Ferguson,5/20/2014,East,Corporate,5/22/2014,Second Class,Shipped Early,New Hampshire,Art,2,3,0.25,1,2,11.94,0.06,9,29.25,58,38.52,39,0
Furniture,Dover,United States,Randy Ferguson,5/20/2014,East,Corporate,5/22/2014,Second Class,Shipped Early,New Hampshire,Furnishings,2,3,0.18,1,29,60.14,0.25,7,114.8,209,139.86,140,0
Office Supplies,New York City,United States,Dan Lawera,11/20/2015,East,Consumer,11/26/2015,Standard Class,Shipped On Time,New York,Paper,6,6,0.25,1,3,9.04,0.21,3,15,29,19.65,20,0
Office Supplies,Philadelphia,United States,William Brown,11/30/2015,East,Consumer,12/4/2015,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.25,1,-134,-122.39,-0.35,3,382.5,229,152.99,510,0.7
Office Supplies,Philadelphia,United States,William Brown,11/30/2015,East,Consumer,12/4/2015,Standard Class,Shipped Early,Pennsylvania,Fasteners,4,6,0.25,1,-3,-2.38,-0.28,7,10.3125,16,10.58,14,0.2
Technology,Philadelphia,United States,William Brown,11/30/2015,East,Consumer,12/4/2015,Standard Class,Shipped Early,Pennsylvania,Phones,4,6,0.2,1,47,15.82,0.37,4,126.6666667,142,94.92,158,0.4
Furniture,Grand Prairie,United States,Trudy Brown,12/31/2015,Central,Consumer,1/5/2016,Standard Class,Shipped Early,Texas,Furnishings,5,6,0.18,1,-11,-11.44,-0.36,5,30.75,22,14.76,38,0.6
Office Supplies,Grand Prairie,United States,Trudy Brown,12/31/2015,Central,Consumer,1/5/2016,Standard Class,Shipped Early,Texas,Binders,5,6,0.25,1,-16,-5.85,-1.05,4,15,5,3.66,20,0.8
Office Supplies,New York City,United States,Christy Brittain,11/16/2017,East,Consumer,11/16/2017,Same Day,Shipped On Time,New York,Paper,0,0,0.25,1,28,73.41,0.25,3,110.25,220,146.82,147,0
Office Supplies,Long Beach,United States,Grant Thornton,6/6/2014,East,Corporate,6/11/2014,Standard Class,Shipped Early,New York,Binders,5,6,0.25,1,41,50.47,0.29,9,140.625,224,149.54,188,0.2
Office Supplies,Long Beach,United States,Grant Thornton,6/6/2014,East,Corporate,6/11/2014,Standard Class,Shipped Early,New York,Supplies,5,6,0.25,1,0,4.46,0.01,2,12.75,26,17.14,17,0
Furniture,Long Beach,United States,Grant Thornton,6/6/2014,East,Corporate,6/11/2014,Standard Class,Shipped Early,New York,Tables,5,6,0.18,1,-176,-347.12,-0.13,3,1355.733333,1485,991.76,1653,0.4
Office Supplies,Philadelphia,United States,Dean Katz,9/1/2016,East,Corporate,9/5/2016,Standard Class,Shipped Early,Pennsylvania,Paper,4,6,0.25,1,8,9.91,0.28,6,28.125,46,30.48,38,0.2
Technology,Philadelphia,United States,Dean Katz,9/1/2016,East,Corporate,9/5/2016,Standard Class,Shipped Early,Pennsylvania,Phones,4,6,0.2,1,0,-4.8,0,2,32,36,23.99,40,0.4
Office Supplies,Philadelphia,United States,Dean Katz,9/1/2016,East,Corporate,9/5/2016,Standard Class,Shipped Early,Pennsylvania,Fasteners,4,6,0.25,1,4,5.42,0.28,7,15.9375,25,16.69,21,0.2
Furniture,York,United States,Theresa Swint,6/25/2016,East,Corporate,6/29/2016,Standard Class,Shipped Early,Pennsylvania,Chairs,4,6,0.18,1,40,-18.09,0.08,3,494.3428571,632,422.06,603,0.3
Office Supplies,York,United States,Theresa Swint,6/25/2016,East,Corporate,6/29/2016,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.25,1,-27,-27.93,-0.28,4,95,57,38.09,127,0.7
Office Supplies,York,United States,Theresa Swint,6/25/2016,East,Corporate,6/29/2016,Standard Class,Shipped Early,Pennsylvania,Storage,4,6,0.25,1,-60,-50.87,-0.25,6,238.125,381,254.35,318,0.2
Furniture,Concord,United States,William Brown,12/12/2014,West,Consumer,12/17/2014,Standard Class,Shipped Early,California,Furnishings,5,6,0.18,1,-3,4.33,-0.08,1,35.26,65,43.31,43,0
Technology,New York City,United States,Denny Ordway,3/31/2017,East,Consumer,4/5/2017,Standard Class,Shipped Early,New York,Phones,5,6,0.2,1,4,22.09,0.06,5,68,127,84.95,85,0
Furniture,College Station,United States,Art Ferguson,11/19/2017,Central,Consumer,11/26/2017,Standard Class,Shipped Late,Texas,Chairs,7,6,0.18,1,-30,-53.27,-0.11,3,272.9428571,349,233.06,333,0.3
Technology,Saint Louis,United States,Richard Bierner,11/24/2014,Central,Consumer,11/29/2014,Second Class,Shipped Late,Missouri,Accessories,5,3,0.2,1,17,43.6,0.19,7,89.6,167,111.79,112,0
Office Supplies,Quincy,United States,Andy Reiter,11/22/2015,East,Consumer,11/26/2015,Standard Class,Shipped Early,Massachusetts,Paper,4,6,0.25,1,2,7.02,0.22,3,11.25,22,14.94,15,0
